cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed
+20d,20.0,2434,118,0.04847986852917009,0.41910711838120923,0.928200286876848,0.40725806451612906,0.2671957671957672,0.8559322033898306,0.4675324675324676,0.6572030186653137,0.5,82.0,0,frozen,2
+50d,50.0,2434,118,0.04847986852917009,0.531717360863582,0.9514065747489827,0.48148148148148145,0.33121019108280253,0.8813559322033898,0.5669781931464175,0.7508243918418884,0.5,87.0,0,frozen,2
+100d,100.0,2434,118,0.04847986852917009,0.6090341094578823,0.9584431076373643,0.5061425061425061,0.356401384083045,0.8728813559322034,0.6,0.8127755522727966,0.5,91.0,0,frozen,2
full,,2434,118,0.04847986852917009,0.6341659744024372,0.9729790550627909,0.5608465608465608,0.4076923076923077,0.8983050847457628,0.6641221374045801,0.8346731066703796,0.5,149.0,0,frozen,2
-50d,-50.0,2434,118,0.04847986852917009,0.14849163603661394,0.7794469570562922,0.19723865877712032,0.11160714285714286,0.847457627118644,0.1994134897360704,0.4920085370540619,0.5,72.0,16,finetune,0
-20d,-20.0,2434,118,0.04847986852917009,0.1626981977434684,0.7920508767307748,0.2,0.1145320197044335,0.788135593220339,0.20350109409190373,0.5074313879013062,0.5,75.0,5,finetune,0
-10d,-10.0,2434,118,0.04847986852917009,0.18933012199459207,0.8155572143672608,0.20398593200468934,0.11836734693877551,0.7372881355932204,0.22950819672131148,0.662639319896698,0.5,76.0,4,finetune,0
+0d,0.0,2434,118,0.04847986852917009,0.2742095781206015,0.8566457363660315,0.2549317147192716,0.15526802218114602,0.711864406779661,0.3529411764705882,0.7431134581565857,0.5,79.0,0,finetune,0
+20d,20.0,2434,118,0.04847986852917009,0.40545583313564737,0.9048403149790697,0.3991228070175439,0.2692307692307692,0.7711864406779662,0.43884892086330934,0.7102047801017761,0.5,82.0,0,finetune,0
+50d,50.0,2434,118,0.04847986852917009,0.4915714879726038,0.934998975439829,0.4864864864864865,0.34256055363321797,0.8389830508474576,0.5480427046263345,0.7506030797958374,0.5,87.0,0,finetune,0
+100d,100.0,2434,118,0.04847986852917009,0.5615600714093572,0.9408023769795967,0.5228426395939086,0.37318840579710144,0.8728813559322034,0.5931034482758621,0.7458549737930298,0.5,91.0,0,finetune,0
full,,2434,118,0.04847986852917009,0.6200139409727359,0.9445603173209216,0.5755813953488372,0.43805309734513276,0.8389830508474576,0.6521739130434783,0.7139806151390076,0.5,149.0,0,finetune,0
-50d,-50.0,2434,118,0.04847986852917009,0.1263751957508843,0.7730032054096777,0.19436345966958213,0.10976948408342481,0.847457627118644,0.19810326659641728,0.549136757850647,0.5,72.0,16,finetune,1
-20d,-20.0,2434,118,0.04847986852917009,0.16106417933482245,0.7828627674833875,0.19679144385026737,0.11260709914320685,0.7796610169491526,0.19848975188781015,0.5052990913391113,0.5,75.0,5,finetune,1
-10d,-10.0,2434,118,0.04847986852917009,0.17671248860671995,0.8041516641784491,0.2077922077922078,0.12071330589849108,0.7457627118644068,0.21286031042128606,0.6352770328521729,0.5,76.0,4,finetune,1
+0d,0.0,2434,118,0.04847986852917009,0.25507911685352125,0.8464074529434151,0.24550898203592814,0.14909090909090908,0.6949152542372882,0.35454545454545455,0.7096490859985352,0.5,79.0,0,finetune,1
+20d,20.0,2434,118,0.04847986852917009,0.3778750099799191,0.891791809373262,0.3561643835616438,0.23155216284987276,0.7711864406779662,0.4372469635627531,0.6991502046585083,0.5,82.0,0,finetune,1
+50d,50.0,2434,118,0.04847986852917009,0.4737066155395671,0.9313727642633413,0.4694835680751174,0.3246753246753247,0.847457627118644,0.5357142857142857,0.6968477368354797,0.5,87.0,0,finetune,1
+100d,100.0,2434,118,0.04847986852917009,0.540064972347244,0.9361625830625567,0.4950980392156863,0.3482758620689655,0.8559322033898306,0.5795053003533569,0.7016586065292358,0.5,91.0,0,finetune,1
full,,2434,118,0.04847986852917009,0.6476439708783203,0.9509345452416499,0.544,0.3968871595330739,0.864406779661017,0.6541353383458647,0.7081308960914612,0.5,149.0,0,finetune,1
-50d,-50.0,2434,118,0.04847986852917009,0.13170114057975435,0.7829963262199584,0.1938061938061938,0.10985277463193659,0.8220338983050848,0.19829424307036247,0.5442110896110535,0.5,72.0,16,finetune,2
-20d,-20.0,2434,118,0.04847986852917009,0.16093184131141403,0.7965296683352361,0.19517313746065057,0.11137724550898204,0.788135593220339,0.20447284345047922,0.7128918766975403,0.5,75.0,5,finetune,2
-10d,-10.0,2434,118,0.04847986852917009,0.18218876313162116,0.8142289452884869,0.20088300220750552,0.11548223350253807,0.7711864406779662,0.23715415019762845,0.7327421307563782,0.5,76.0,4,finetune,2
+0d,0.0,2434,118,0.04847986852917009,0.27776360195943683,0.8590680893416469,0.23779724655819776,0.1395007342143906,0.8050847457627118,0.3524904214559387,0.7270308136940002,0.5,79.0,0,finetune,2
+20d,20.0,2434,118,0.04847986852917009,0.41702144858770474,0.9166556892362635,0.40165631469979296,0.26575342465753427,0.8220338983050848,0.4496124031007752,0.7339149117469788,0.5,82.0,0,finetune,2
+50d,50.0,2434,118,0.04847986852917009,0.5006002198563585,0.9381641345393871,0.49504950495049505,0.34965034965034963,0.847457627118644,0.5462184873949579,0.8064872026443481,0.5,87.0,0,finetune,2
+100d,100.0,2434,118,0.04847986852917009,0.5521308853375247,0.9410255847311262,0.5153061224489796,0.3686131386861314,0.8559322033898306,0.6008230452674896,0.8064872026443481,0.5,91.0,0,finetune,2
full,,2434,118,0.04847986852917009,0.6162672737470519,0.949339158689734,0.532967032967033,0.3943089430894309,0.8220338983050848,0.6539923954372624,0.7691076397895813,0.5,149.0,0,finetune,2
