cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
+0d,0.0,488,24,0.04918032786885246,0.2870470402298209,0.9050826149425286,0.28187919463087246,0.168,0.875,0.4262295081967213,0.9059773087501526,0.5,78.0,0,frozen,0,2,46
+20d,20.0,488,24,0.04918032786885246,0.4010459332719053,0.94683908045977,0.4074074074074074,0.2619047619047619,0.9166666666666666,0.5066666666666667,0.7460854053497314,0.5,82.0,0,frozen,0,2,46
+50d,50.0,488,24,0.04918032786885246,0.5532253822094236,0.9689295977011494,0.4583333333333333,0.3055555555555556,0.9166666666666666,0.6027397260273972,0.7512020468711853,0.5,85.5,0,frozen,0,2,46
+100d,100.0,488,24,0.04918032786885246,0.6092194354292524,0.9720725574712643,0.5227272727272727,0.359375,0.9583333333333334,0.5957446808510638,0.9540552496910095,0.5,90.5,0,frozen,0,2,46
full,,488,24,0.04918032786885246,0.7058676274544669,0.9834770114942529,0.5974025974025974,0.4339622641509434,0.9583333333333334,0.7450980392156864,0.9211608171463013,0.5,148.0,0,frozen,0,2,46
-50d,-50.0,487,24,0.049281314168377825,0.16239074798750727,0.7633189344852411,0.19138755980861244,0.10810810810810811,0.8333333333333334,0.2,0.7853205800056458,0.5,67.0,7,frozen,0,3,35
-20d,-20.0,487,24,0.049281314168377825,0.2717350805786538,0.796886249100072,0.19689119170984457,0.11242603550295859,0.7916666666666666,0.3404255319148936,0.8018169403076172,0.5,69.0,2,frozen,0,3,35
-10d,-10.0,487,24,0.049281314168377825,0.3004662600219866,0.8168646508279338,0.22093023255813954,0.12837837837837837,0.7916666666666666,0.34285714285714286,0.9150022268295288,0.5,71.0,1,frozen,0,3,35
+0d,0.0,487,24,0.049281314168377825,0.3211667949725728,0.8619510439164867,0.2814814814814815,0.17117117117117117,0.7916666666666666,0.3614457831325301,0.7165287733078003,0.5,74.0,0,frozen,0,3,35
+20d,20.0,487,24,0.049281314168377825,0.458813404286235,0.8926385889128869,0.40860215053763443,0.2753623188405797,0.7916666666666666,0.4918032786885246,0.7695193290710449,0.5,77.0,0,frozen,0,3,35
+50d,50.0,487,24,0.049281314168377825,0.515420011506447,0.9197264218862492,0.43010752688172044,0.2898550724637681,0.8333333333333334,0.5245901639344263,0.7661076784133911,0.5,82.0,0,frozen,0,3,35
+100d,100.0,487,24,0.049281314168377825,0.6695311777746388,0.9431245500359972,0.4827586206896552,0.3333333333333333,0.875,0.6382978723404256,0.8654639720916748,0.5,86.0,0,frozen,0,3,35
full,,487,24,0.049281314168377825,0.6956073699884224,0.9577033837293016,0.5230769230769231,0.4146341463414634,0.7083333333333334,0.6666666666666666,0.8964219093322754,0.5,147.0,0,frozen,0,3,35
-50d,-50.0,486,23,0.047325102880658436,0.19653422595229675,0.7822330735280308,0.18604651162790697,0.10416666666666667,0.8695652173913043,0.30303030303030304,0.82695072889328,0.5,72.0,1,frozen,0,4,38
-20d,-20.0,486,23,0.047325102880658436,0.24750289555974386,0.7955676589351113,0.18446601941747573,0.10382513661202186,0.8260869565217391,0.3333333333333333,0.9339058995246887,0.5,75.5,1,frozen,0,4,38
-10d,-10.0,486,23,0.047325102880658436,0.2930640064156978,0.8264625786458822,0.2,0.11377245508982035,0.8260869565217391,0.3333333333333333,0.9374629855155945,0.5,77.0,1,frozen,0,4,38
+0d,0.0,486,23,0.047325102880658436,0.37556203456632886,0.8833693304535638,0.2631578947368421,0.15503875968992248,0.8695652173913043,0.44000000000000006,0.8575423359870911,0.5,80.5,0,frozen,0,4,38
+20d,20.0,486,23,0.047325102880658436,0.557760564995008,0.9431871537233544,0.43564356435643564,0.28205128205128205,0.9565217391304348,0.5652173913043478,0.8664144277572632,0.5,83.0,0,frozen,0,4,38
+50d,50.0,486,23,0.047325102880658436,0.6323511550934721,0.9595267161235798,0.5121951219512195,0.3559322033898305,0.9130434782608695,0.6382978723404256,0.8788071274757385,0.5,89.0,0,frozen,0,4,38
+100d,100.0,486,23,0.047325102880658436,0.689001997116993,0.9734247347168747,0.5753424657534246,0.42,0.9130434782608695,0.6363636363636365,0.9354530572891235,0.5,94.0,0,frozen,0,4,38
full,,486,23,0.047325102880658436,0.6452143048831661,0.9784956333928069,0.5753424657534246,0.42,0.9130434782608695,0.6557377049180327,0.6860813498497009,0.5,147.0,0,frozen,0,4,38
-50d,-50.0,487,24,0.049281314168377825,0.16672794927461843,0.7258819294456444,0.1836734693877551,0.10465116279069768,0.75,0.20095693779904308,0.4345962107181549,0.5,72.0,1,frozen,1,0,12
-20d,-20.0,487,24,0.049281314168377825,0.24575729819453898,0.7900467962562996,0.21390374331550802,0.12269938650306748,0.8333333333333334,0.3333333333333333,0.8472174406051636,0.5,75.0,0,frozen,1,0,12
