cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed
-50d,-50.0,2434,118,0.04847986852917009,0.11641637876137628,0.7565992652439918,0.17679558011049723,0.09917355371900827,0.8135593220338984,0.18528610354223432,0.6732557415962219,0.5,72.0,16,frozen,1
-20d,-20.0,2434,118,0.04847986852917009,0.13496180674208866,0.7732684933110858,0.1786064769381747,0.10099889012208657,0.7711864406779662,0.2034976152623211,0.6809071898460388,0.5,75.0,5,frozen,1
-10d,-10.0,2434,118,0.04847986852917009,0.14557855903896103,0.786430432364392,0.18938605619146723,0.10794780545670225,0.7711864406779662,0.22510822510822512,0.7095460891723633,0.5,76.0,4,frozen,1
+0d,0.0,2434,118,0.04847986852917009,0.19924421611421012,0.824276953250783,0.21064814814814814,0.12198391420911528,0.7711864406779662,0.27133479212253825,0.7113571763038635,0.5,79.0,0,frozen,1
+20d,20.0,2434,118,0.04847986852917009,0.23557485578212045,0.837987763824244,0.2438391699092088,0.1439509954058193,0.7966101694915254,0.2892561983471074,0.7115731239318848,0.5,82.0,0,frozen,1
+50d,50.0,2434,118,0.04847986852917009,0.31108572297616116,0.8872325166125113,0.30387596899224806,0.1859582542694497,0.8305084745762712,0.39257294429708217,0.7635084986686707,0.5,87.0,0,frozen,1
+100d,100.0,2434,118,0.04847986852917009,0.32921882331830293,0.8920589268464039,0.32081911262798635,0.20085470085470086,0.7966101694915254,0.42038216560509556,0.8026952147483826,0.5,91.0,0,frozen,1
full,,2434,118,0.04847986852917009,0.4306513361576887,0.9098862738210239,0.32377740303541314,0.20210526315789473,0.8135593220338984,0.46875,0.8118714094161987,0.5,149.0,0,frozen,1
-50d,-50.0,2434,118,0.04847986852917009,0.12748343744199464,0.7611658762916778,0.16727941176470587,0.09381443298969072,0.7711864406779662,0.192,0.7044026851654053,0.5,72.0,16,frozen,2
-20d,-20.0,2434,118,0.04847986852917009,0.14417979726321056,0.7768434764790257,0.1750503018108652,0.09931506849315068,0.7372881355932204,0.2121212121212121,0.7629664540290833,0.5,75.0,5,frozen,2
-10d,-10.0,2434,118,0.04847986852917009,0.16981421122480178,0.7935181932613212,0.18681318681318682,0.10732323232323232,0.7203389830508474,0.2206896551724138,0.7629664540290833,0.5,76.0,4,frozen,2
+0d,0.0,2434,118,0.04847986852917009,0.20551925586400216,0.8306109305933667,0.22879177377892032,0.13484848484848486,0.7542372881355932,0.2783018867924528,0.6869503259658813,0.5,79.0,0,frozen,2
+20d,20.0,2434,118,0.04847986852917009,0.24470750443391964,0.8456573285325371,0.2571428571428571,0.15463917525773196,0.7627118644067796,0.3,0.8423338532447815,0.5,82.0,0,frozen,2
+50d,50.0,2434,118,0.04847986852917009,0.32294377612004893,0.895498521706039,0.31840796019900497,0.1979381443298969,0.8135593220338984,0.4019607843137255,0.7224780321121216,0.5,87.0,0,frozen,2
+100d,100.0,2434,118,0.04847986852917009,0.3407367014942783,0.9017629753227364,0.3298611111111111,0.2074235807860262,0.8050847457627118,0.4344569288389513,0.8521804809570312,0.5,91.0,0,frozen,2
full,,2434,118,0.04847986852917009,0.4240824575881911,0.9122683762184948,0.3508137432188065,0.22298850574712645,0.8220338983050848,0.4701986754966887,0.8320409059524536,0.5,149.0,0,frozen,2
-50d,-50.0,2434,118,0.04847986852917009,0.11394300056365328,0.7696148385585901,0.18037661050545095,0.10213243546576879,0.7711864406779662,0.19746835443037974,0.7787313461303711,0.5,72.0,16,finetune,0
-20d,-20.0,2434,118,0.04847986852917009,0.12663879043271944,0.7706595240186177,0.18181818181818182,0.10321100917431193,0.7627118644067796,0.20086083213773312,0.6983668208122253,0.5,75.0,5,finetune,0
-10d,-10.0,2434,118,0.04847986852917009,0.13566121975280473,0.7815784081262258,0.18730489073881373,0.10676156583629894,0.7627118644067796,0.2184873949579832,0.7755313515663147,0.5,76.0,4,finetune,0
+0d,0.0,2434,118,0.04847986852917009,0.17175491236314053,0.8024684581833085,0.19590958019375673,0.11220715166461159,0.7711864406779662,0.24932249322493225,0.7632842063903809,0.5,79.0,0,finetune,0
+20d,20.0,2434,118,0.04847986852917009,0.2522994425759303,0.8354483182576623,0.22632226322263221,0.13237410071942446,0.7796610169491526,0.30898876404494385,0.7559008598327637,0.5,82.0,0,finetune,0
+50d,50.0,2434,118,0.04847986852917009,0.3074061807273503,0.8774113755452123,0.3218390804597701,0.19959266802443992,0.8305084745762712,0.4114285714285714,0.7292926907539368,0.5,87.0,0,finetune,0
+100d,100.0,2434,118,0.04847986852917009,0.3282311391102221,0.8835770322882819,0.35424354243542433,0.22641509433962265,0.8135593220338984,0.42405063291139244,0.7428680658340454,0.5,91.0,0,finetune,0
