cutoff,cutoff_days,n,n_pos,prevalence,pr_auc,roc_auc,f1,precision,recall,f1_best,threshold_best,threshold,median_obs_seen,n_empty,mode,seed,fold,best_epoch
+20d,20.0,486,23,0.047325102880658436,0.24256772621290568,0.8397032585219268,0.2459016393442623,0.15151515151515152,0.6521739130434783,0.33962264150943394,0.8716237545013428,0.5,87.0,0,frozen,2,1,96
+50d,50.0,486,23,0.047325102880658436,0.31866155159077547,0.9043102638745423,0.31683168316831684,0.20512820512820512,0.6956521739130435,0.45614035087719296,0.8331859707832336,0.5,92.0,0,frozen,2,1,96
+100d,100.0,486,23,0.047325102880658436,0.333274293478421,0.90947506808151,0.34,0.22077922077922077,0.7391304347826086,0.44897959183673475,0.8636934757232666,0.5,97.0,0,frozen,2,1,96
full,,486,23,0.047325102880658436,0.44253358976007473,0.9075030519297587,0.38,0.24675324675324675,0.8260869565217391,0.4482758620689655,0.8331388831138611,0.5,152.0,0,frozen,2,1,96
-50d,-50.0,488,24,0.04918032786885246,0.1573568059063381,0.8205818965517242,0.19130434782608696,0.10679611650485436,0.9166666666666666,0.2894736842105263,0.7677167654037476,0.5,72.0,5,frozen,2,2,33
-20d,-20.0,488,24,0.04918032786885246,0.16588147250619906,0.8125,0.20689655172413793,0.11731843575418995,0.875,0.22222222222222224,0.7134382724761963,0.5,75.0,1,frozen,2,2,33
-10d,-10.0,488,24,0.04918032786885246,0.1521623309819638,0.8195941091954023,0.2198952879581152,0.12574850299401197,0.875,0.23880597014925373,0.6380248665809631,0.5,76.0,1,frozen,2,2,33
+0d,0.0,488,24,0.04918032786885246,0.24052591444702318,0.8698814655172413,0.23668639053254437,0.13793103448275862,0.8333333333333334,0.3478260869565218,0.6869503259658813,0.5,78.0,0,frozen,2,2,33
+20d,20.0,488,24,0.04918032786885246,0.31438109008852594,0.8789511494252873,0.273972602739726,0.16393442622950818,0.8333333333333334,0.35999999999999993,0.8761343359947205,0.5,82.0,0,frozen,2,2,33
+50d,50.0,488,24,0.04918032786885246,0.46803672286543474,0.9298670977011494,0.3181818181818182,0.19444444444444445,0.875,0.4761904761904762,0.8406985402107239,0.5,85.5,0,frozen,2,2,33
+100d,100.0,488,24,0.04918032786885246,0.3866717124324891,0.9232219827586207,0.33070866141732286,0.20388349514563106,0.875,0.4827586206896552,0.8521804809570312,0.5,90.5,0,frozen,2,2,33
full,,488,24,0.04918032786885246,0.4045668547724378,0.9464798850574712,0.359375,0.22115384615384615,0.9583333333333334,0.547945205479452,0.8320409059524536,0.5,148.0,0,frozen,2,2,33
-50d,-50.0,487,24,0.049281314168377825,0.1762310943620916,0.7476601871850252,0.1552511415525114,0.08717948717948718,0.7083333333333334,0.21951219512195125,0.757192075252533,0.5,67.0,7,frozen,2,3,27
-20d,-20.0,487,24,0.049281314168377825,0.14043215312520696,0.7439704823614111,0.16267942583732056,0.0918918918918919,0.7083333333333334,0.21333333333333332,0.7485167980194092,0.5,69.0,2,frozen,2,3,27
-10d,-10.0,487,24,0.049281314168377825,0.15644386208695646,0.7734881209503239,0.17297297297297298,0.09937888198757763,0.6666666666666666,0.23188405797101452,0.725456953048706,0.5,71.0,1,frozen,2,3,27
+0d,0.0,487,24,0.049281314168377825,0.21383135919339935,0.8271238300935925,0.24324324324324326,0.14516129032258066,0.75,0.3157894736842105,0.6802615523338318,0.5,74.0,0,frozen,2,3,27
+20d,20.0,487,24,0.049281314168377825,0.20612097045715402,0.853401727861771,0.26277372262773724,0.1592920353982301,0.75,0.3409090909090909,0.6802615523338318,0.5,77.0,0,frozen,2,3,27
+50d,50.0,487,24,0.049281314168377825,0.2772665722732549,0.8839992800575955,0.33070866141732286,0.20388349514563106,0.875,0.37209302325581395,0.7247652411460876,0.5,82.0,0,frozen,2,3,27
+100d,100.0,487,24,0.049281314168377825,0.32035100971688407,0.8967782577393808,0.3140495867768595,0.1958762886597938,0.7916666666666666,0.39436619718309857,0.7690673470497131,0.5,86.0,0,frozen,2,3,27
full,,487,24,0.049281314168377825,0.42277247702687376,0.8982181425485961,0.2962962962962963,0.19047619047619047,0.6666666666666666,0.48000000000000004,0.8626096248626709,0.5,147.0,0,frozen,2,3,27
-50d,-50.0,486,23,0.047325102880658436,0.084166449955355,0.7125551694994836,0.15447154471544716,0.08520179372197309,0.8260869565217391,0.17346938775510204,0.6317418217658997,0.5,72.0,1,frozen,2,4,19
-20d,-20.0,486,23,0.047325102880658436,0.13065291689142686,0.7460794440792563,0.15859030837004406,0.08823529411764706,0.782608695652174,0.2105263157894737,0.7786544561386108,0.5,75.5,1,frozen,2,4,19
-10d,-10.0,486,23,0.047325102880658436,0.1966508969734197,0.7428866560240398,0.1650485436893204,0.09289617486338798,0.7391304347826086,0.2127659574468085,0.7934119701385498,0.5,77.0,1,frozen,2,4,19
