mode,seed,cutoff,roc_tde_vs_agn,roc_tde_vs_other,experiment
finetune,0,-20d,0.9104276966445178,0.5446614957387724,original
finetune,0,-10d,0.9146028023546412,0.566484726611127,original
finetune,0,+0d,0.9172855298534864,0.6168150914488173,original
finetune,0,+20d,0.9204538724845729,0.6979986593890644,original
finetune,0,+50d,0.9236162929799003,0.8027003734559035,original
finetune,0,+100d,0.916936123843703,0.8296370774681605,original
finetune,0,full,0.9379419393810184,0.8740591783970123,original
finetune,1,-50d,0.9138714185883997,0.5523317054486259,original
finetune,1,-20d,0.9205782373355126,0.558632576845734,original
finetune,1,-10d,0.9226272963081406,0.5566599636119889,original
finetune,1,+0d,0.9276492674318068,0.6137508378818347,original
finetune,1,+20d,0.9322093119662676,0.7022694627980466,original
finetune,1,+50d,0.9328074476779307,0.7862395863257684,original
finetune,1,+100d,0.9276848002463609,0.8149478119314373,original
finetune,1,full,0.9402278837840079,0.8796705927415494,original
finetune,2,-50d,0.9004696253656919,0.5390835966676242,original
finetune,2,-20d,0.9063591893780573,0.542966580484535,original
finetune,2,-10d,0.9091425931848062,0.5549171693957675,original
finetune,2,+0d,0.915603643297919,0.5882409269367039,original
finetune,2,+20d,0.9180731739094387,0.6465670784257398,original
finetune,2,+50d,0.9168828246218717,0.7343770947045868,original
finetune,2,+100d,0.9123168579516517,0.7668007277602222,original
finetune,2,full,0.9217448980800436,0.7909700277697979,original
frozen,0,-50d,0.9344508403510642,0.5360815857512209,full_plasticc
frozen,0,-20d,0.9449182153051677,0.6000383031695873,full_plasticc
frozen,0,-10d,0.9464342820594819,0.6470458680455808,full_plasticc
frozen,0,+0d,0.9551871987113433,0.7618596188834627,full_plasticc
frozen,0,+20d,0.9622463845361191,0.8764722780810112,full_plasticc
frozen,0,+50d,0.9651245425150126,0.92939768265824,full_plasticc
frozen,0,+100d,0.9682099752454727,0.9454562865077086,full_plasticc
frozen,0,full,0.9791244714493835,0.9570908742698458,full_plasticc
frozen,1,-50d,0.9353569271221973,0.5298860480704779,full_plasticc
frozen,1,-20d,0.9451787892785655,0.5846260653069042,full_plasticc
frozen,1,-10d,0.9462506958509517,0.6293689552810495,full_plasticc
frozen,1,+0d,0.9524215613118715,0.7396916594848223,full_plasticc
frozen,1,+20d,0.9600729607125514,0.868208369242555,full_plasticc
frozen,1,+50d,0.9650060997998319,0.9253662740591785,full_plasticc
frozen,1,+100d,0.9677658150635445,0.9423633055635353,full_plasticc
frozen,1,full,0.9814992478887586,0.9571291774394332,full_plasticc
frozen,2,-50d,0.9361445711781498,0.5377190462510772,full_plasticc
frozen,2,-20d,0.9467896102050243,0.6021354017044911,full_plasticc
frozen,2,-10d,0.948222767058712,0.6442784640428996,full_plasticc
frozen,2,+0d,0.9561169740255125,0.7447668294551374,full_plasticc
frozen,2,+20d,0.9640704023499036,0.8702001340610936,full_plasticc
frozen,2,+50d,0.9665458550971823,0.9269271282198603,full_plasticc
frozen,2,+100d,0.9684646270831112,0.9422388202623767,full_plasticc
frozen,2,full,0.9814785204136021,0.9592358517667336,full_plasticc
finetune,0,-50d,0.9397748403984414,0.5202049219572921,full_plasticc
finetune,0,-20d,0.9463336057515782,0.5425835487886622,full_plasticc
finetune,0,-10d,0.9468073766123015,0.6033323757540936,full_plasticc
finetune,0,+0d,0.9483471319096519,0.7083692425548215,full_plasticc
finetune,0,+20d,0.9516990607492687,0.829072105716748,full_plasticc
finetune,0,+50d,0.9584325291072974,0.8971081106961601,full_plasticc
finetune,0,+100d,0.9568513188596336,0.9148520540074693,full_plasticc
finetune,0,full,0.9643961198166506,0.9124868332854544,full_plasticc
finetune,1,-50d,0.9411310094872617,0.5011490950876185,full_plasticc
finetune,1,-20d,0.9453268426725414,0.5201666187877048,full_plasticc
finetune,1,-10d,0.9435738904878656,0.5787130135018672,full_plasticc
finetune,1,+0d,0.9447938504542278,0.6873216508666092,full_plasticc
finetune,1,+20d,0.9496677681839178,0.7982093268217946,full_plasticc
finetune,1,+50d,0.9566025891577538,0.8905774202815283,full_plasticc
finetune,1,+100d,0.9533691030333179,0.9083405151776309,full_plasticc
finetune,1,full,0.9708275592509683,0.9187685530977688,full_plasticc
finetune,2,-50d,0.9422858259602743,0.525433304605956,full_plasticc
finetune,2,-20d,0.9496144689620865,0.5489993296945322,full_plasticc
finetune,2,-10d,0.9497980551706167,0.5950205879536532,full_plasticc
finetune,2,+0d,0.9574731431143327,0.699952121038016,full_plasticc
finetune,2,+20d,0.9606829406957325,0.8454658623001053,full_plasticc
finetune,2,+50d,0.9634663445024815,0.8972517475821123,full_plasticc
finetune,2,+100d,0.9611093344703834,0.9085511826103609,full_plasticc
finetune,2,full,0.9731727250115482,0.9108014938236141,full_plasticc
